Año,Estado,Promedio diario de residuos sólidos urbanos recolectados,pea,grado_escolar,idh,PIB,Poblacion,tot_viv_hab,Con servicios de recoleccion residuos solidos urbanos,Sin servicios de recoleccion residuos solidos urbanos,Servicios de Recoleccion:No especificado,Cantidad promedio diaria de residuos solidos urbanos recolectados,Sistema de recoleccion casa por casa,Sistema de recoleccion En un punto de recoleccion,Sistema de recoleccion Sistema de contenedores,Total Vehiculos,Vehículo con compactador,Vehículo con caja abierta,Vehiculos: Otro,Municipios que operan centros de acopio,Cantidad Centros de acopio,Cantidad promedio diaria de materiales reciclables recibidos (kilogramos),Prom Diario Mat Rec recibidos:Papel y cartón Kg,Prom Diario Mat Rec recibidos:PET Kg,Prom Diario Mat Rec recibidos:Otros plásticos Kg,Prom Diario Mat Rec recibidos:Aluminio Kg,"Prom Diario Mat Rec recibidos:Fierro, lámina, acero Kg","Prom Diario Mat Rec recibidos:Cobre, bronce, plomo Kg",Prom Diario Mat Rec recibidos:Vidrio Kg,Prom Diario Mat Rec recibidos:Eléctricos y electrónicos Kg,Prom Diario Mat Rec recibidos: Pilas y baterías Kg,Prom Diario Mat Rec recibidos:Llantas Kg,Prom Diario Mat Rec recibidos:Otro Kg,Cantidad promedio diaria de residuos recolectados de manera selectiva,Destino: Estación de transferencia Orgánicos,Destino: Estación de transferencia Inorgánicos,Destino: Planta de tratamiento Orgánicos,Destino: Planta de tratamiento Inorgánicos,Destino: Venta o donación Orgánicos,Destino: Venta o donación Inorgánicos,Destino: Sitio de disposición final Orgánicos,Destino: Sitio de disposición final Inorgánicos,Destino: Otro destino Orgánicos,Destino: Otro destino Inorgánicos,Destino: No especificado,Municipios o demarcaciones territoriales que envían residuos a estaciones de  transferencia,Estaciones de transferencia,Funcion Est transf: Sólo trasvase,Funcion Est transf: Selección o separación,Funcion Est transf: Compactación,Funcion Est transf: Almacenamiento temporal,Funcion Est transf: Trituración,Funcion Est transf: Otra,Estaciones de transferencia con separación de residuos,Cantidad promedio diaria de materiales clasificados (kilogramos),Prom Dia Mat Clas:Papel y cartón Kg,Prom Dia Mat Clas:PET Kg,Prom Dia Mat Clas:Otros plásticos Kg,Prom Dia Mat Clas:Aluminio Kg,"Prom Dia Mat Clas:Fierro, lámina, acero Kg","Prom Dia Mat Clas:Cobre, bronce, plomo Kg",Prom Dia Mat Clas:Vidrio Kg,Prom Dia Mat Clas:Eléctricos y electrónicos Kg,Prom Dia Mat Clas:Materia orgánica Kg,Prom Dia Mat Clas:Otro material Kg,Régimen de gestión: Sector público_x,Régimen de gestión: Sector privado_x,Régimen de gestión: Sector social_x,Régimen de gestión: Mixto_x,Municipios o demarcaciones territoriales que envían residuos a plantas de tratamiento,Cantidad Plantas de tratamiento,Procesos Planta Trat: Separación,Proceso Planta Trat: Trituración,Proceso Planta Trat: Compactación,Proceso Planta Trat: Composteo,Proceso Planta Trat: Digestión anaerobio,Proceso Planta Trat: Otro proceso,Cantidad promedio diaria de residuos enviados a planta de tratamiento,Cantidad promedio diaria de materiales recuperados en planta de tratamiento,Tipo de material Recuperado Plant Trat: Papel y cartón,Tipo de material Recuperado Plant Trat: PET,Tipo de material Recuperado Plant Trat: Otros plásticos,Tipo de material Recuperado Plant Trat: Aluminio,"Tipo de material Recuperado Plant Trat: Fierro, lámina, acero","Tipo de material Recuperado Plant Trat: Cobre, bronce, plomo",Tipo de material Recuperado Plant Trat: Vidrio,Tipo de material Recuperado Plant Trat: Eléctricos y electrónicos,Tipo de material Recuperado Plant Trat: Materia orgánica,Tipo de material Recuperado Plant Trat: Otro material,Régimen de gestión: Sector público_y,Régimen de gestión: Sector privado_y,Régimen de gestión: Sector social_y,Régimen de gestión: Mixto_y,Cantidad Sitios de disposición final,Sit Dis Final Tipo de propiedad del predio: Municipal,Sit Dis Final Tipo de propiedad del predio: Estatal,Sit Dis Final Tipo de propiedad del predio: Federal,Sit Dis Final Tipo de propiedad del predio: Privada,Sit Dis Final Tipo de propiedad del predio: Social,Sit Dis Final Tipo de propiedad del predio: No especificado,Régimen de gestión: Sector público,Régimen de gestión: Sector privado,Régimen de gestión: Sector social,Régimen de gestión: Mixto,Municipios o demarcaciones territoriales con programas de difusión,Tema de difusión: Reglamento del servicio público de limpia,Tema de difusión: Rutas y horarios de recolección,Tema de difusión: Educación ambiental,Tema de difusión: Separación de residuos,"Tema de difusión: Reducir, reutilizar, reciclar, retornar y reparar residuos",Tema de difusión: Manejo de residuos COVID,Tema de difusión: Otro
2020,Aguascalientes,1022718,706930,10.35,0.793,204820.383,1425607.00,386671,11,0,0,1022718,7640,14630,1000448,106,85,13,8,1,10,1039,450,60,120,5,38,1,80,260,0,0,25,76,0,0,0,0,0,76,0,0,0,0,0,7,5,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,4,2,2,2,3,3,2,0
2020,Baja California,3264039,2010898,10.2,0.793,554008.043,3769020.00,1149563,6,0,0,3264039,3085192.22,79618,99228.78,488,382,60,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,7,0,1,12,0,1,16,5,0,0,1,1,1,1,0,1,1,0
2020,Baja California Sur,1105823,427280,10.34,0.7655,121901.971,798447.00,240660,5,0,0,1105823,1065238.54,29094.46,11490,151,92,47,12,1,2,113,20,26,0,2,0,0,20,40,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,24,0,0,0,8,0,32,0,0,0,3,2,3,1,2,1,3,0
2020,Campeche,601994,462607,9.63,0.753,481969.908,928363.00,260824,11,0,1,601994,492471.7,93823.5,15698.8,48,36,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,0,0,0,0,1,10,2,0,0,2,1,2,0,0,0,2,0
2020,Chiapas,3186689,2501341,7.78,0.648,254446.976,5543828.00,1351630,122,2,0,3186689,369482,2283900.25,533306.75,400,221,172,7,1,1,108,10,30,0,0,0,0,0,0,8,0,60,50250,0,0,0,0,3000,0,22100,25150,0,0,0,4,5,0,5,0,4,0,0,5,699,191,251,120,15,76,10,26,10,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,89,0,0,23,7,3,112,7,3,0,22,7,19,7,10,8,10,0
2020,Chihuahua,4054479,1863623,10,0.773,539798.46,3741869.00,1146915,67,0,0,4054479,3843008.46,17268.7,194201.84,467,352,100,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,1,2,4,1,0,1,10460,30,30,0,0,0,0,0,0,10400,0,4,0,0,0,6,2,2,0,1,0,0,0,282000,34030,1660,2070,920,190,1375,55,310,50,27400,0,0,2,0,0,156,145,0,0,5,2,4,155,1,0,0,10,9,9,2,3,2,3,0
2020,Ciudad De México,14964226,5099957,11.48,0.817,2856971.791,9209944.00,2757433,16,0,0,14964226,1852066.41,12731196.89,380962.7,2681,1830,521,330,13,405,37540,11109,5469,1101,648,1035,0,9369,5245,210,0,3354,13203102,2666971,7552247,164384,240000,0,0,290000,1460000,0,0,829500,16,12,0,12,0,0,0,0,12,1127300,0,0,0,0,0,0,0,0,1127300,0,12,0,0,0,16,1,1,0,1,0,0,0,2245971,1127918,0,0,0,0,0,0,0,0,222670,905248,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,5,6,7,6,6,0
2020,Coahuila De Zaragoza,2628920,1484935,10.43,0.789,535908.391,3146771.00,901249,38,0,0,2628920,2194308.3,76705,357906.7,316,252,50,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,27,0,0,10,0,2,32,5,2,0,6,2,4,3,3,3,3,1
2020,Colima,780735,386642,10.05,0.785,101198.825,731391.00,227050,10,0,0,780735,441264,324044.2,15426.8,85,58,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2750,0,0,0,0,1800,0,470,480,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,3,0,0,0,4,3,4,0,2,1,2,0
2020,Durango,1331401,818279,9.75,0.749,189953.176,1832650.00,493989,39,0,0,1331401,1188696.6,94711.94,47992.46,179,133,43,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,35420,15700,14250,1860,1140,1710,0,760,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,43,0,0,2,14,0,59,0,0,0,7,5,7,2,1,3,2,0
